zipcode,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
94568,390000,400000,410000,438000,470000,497000,525000,525000,550000,520000,528000,500000,521000,500000,537000,555000,592000,592000,600000,590000,595000,603000,633000,655000,650000,650000,656000,675000,705000,711000,736000,726000,730000,675000,670000,710000,710000,722000,736000,775000,790000,790000,768000,738000,730000,720000,720000,740000,744000,752000,778000,806000,815000,825000,810000,810000,774000,773000,779000,809000,785000,780000,795000,798000,815000,828000,861000,855000,833000,806000,830000,845000,867000,878000,880000,922000,915000,915000,905000,905000,885000,873000,879000,852000,860000,865000,891000,902000,920000,935000,928000,890000,863000,840000,833000,850000,875000,900000,935000,930000,938000,898000,900000,910000,935000,978000,1030000,1050000,1085000,1095000,1125000
94571,145000,150000,175000,185000,171000,169000,170000,182000,177000,175000,172000,173000,199000,198000,211000,217000,239000,221000,239000,229000,253000,232000,236000,233000,250000,247000,250000,255000,268000,266000,260000,270000,286000,290000,286000,268000,290000,253000,265000,270000,293000,300000,293000,308000,299000,299000,293000,303000,305000,277000,276000,290000,312000,320000,320000,315000,315000,315000,319000,335000,325000,323000,325000,328000,335000,336000,359000,340000,364000,367000,378000,365000,368000,370000,366000,365000,365000,371000,372000,365000,377000,374000,370000,360000,360000,375000,375000,383000,375000,370000,370000,369000,367000,375000,379000,388000,397000,402000,405000,412000,399000,390000,387000,390000,410000,416000,411000,405000,414000,434000,443000
94572,179000,200000,222000,220000,244000,229000,237000,216000,229000,240000,243000,230000,205000,233000,260000,272000,287000,300000,300000,320000,319000,320000,323000,328000,380000,385000,375000,346000,340000,340000,375000,375000,375000,338000,333000,333000,355000,348000,355000,368000,368000,390000,440000,418000,395000,380000,390000,421000,395000,338000,390000,402000,411000,385000,395000,395000,450000,450000,450000,426000,420000,458000,460000,458000,441000,426000,470000,470000,475000,464000,452000,459000,470000,490000,481000,550000,573000,573000,569000,535000,518000,570000,510000,560000,500000,543000,497000,498000,505000,560000,560000,560000,540000,546000,554000,545000,550000,510000,515000,480000,605000,540000,607000,588000,620000,563000,575000,570000,570000,595000,668000
94574,1008000,739000,780000,820000,865000,865000,940000,910000,910000,950000,989000,899000,808000,750000,837000,826000,960000,994000,981000,963000,849000,937000,825000,825000,815000,925000,1070000,945000,933000,925000,920000,930000,840000,870000,773000,723000,655000,758000,789000,880000,885000,1020000,983000,965000,945000,880000,899000,993000,925000,1155000,1250000,1370000,1370000,1350000,1277000,1180000,1205000,1177000,1296000,1375000,1313000,855000,870000,1280000,1705000,1528000,1136000,930000,930000,909000,1050000,1200000,1350000,1350000,1300000,1280000,1270000,1380000,1350000,1425000,1425000,1187000,1187000,1187000,1325000,1300000,1353000,1203000,1203000,1118000,1575000,1347000,1535000,1288000,1338000,1175000,1475000,2045000,1750000,1750000,1800000,1550000,1400000,1400000,1500000,1370000,1535000,1470000,1609000,1618000,1600000
94577,265000,277000,265000,270000,280000,301000,295000,275000,300000,335000,360000,361000,361000,368000,377000,398000,424000,450000,450000,435000,420000,420000,420000,425000,425000,445000,469000,469000,474000,473000,475000,452000,441000,426000,466000,466000,450000,425000,445000,520000,538000,545000,533000,550000,529000,540000,524000,542000,540000,560000,565000,571000,565000,587000,600000,599000,585000,567000,565000,550000,553000,586000,610000,625000,635000,636000,640000,655000,657000,659000,664000,662000,667000,679000,684000,655000,688000,710000,740000,731000,724000,707000,680000,648000,643000,630000,701000,704000,730000,725000,750000,690000,680000,669000,661000,665000,670000,700000,730000,735000,760000,795000,808000,785000,775000,800000,810000,804000,804000,815000,880000
94578,250000,246000,250000,250000,266000,272000,286000,310000,316000,320000,312000,303000,291000,320000,350000,368000,380000,380000,375000,369000,367000,362000,370000,382000,377000,393000,400000,415000,430000,420000,410000,410000,420000,436000,440000,455000,467000,455000,455000,465000,469000,463000,481000,484000,490000,486000,490000,484000,461000,500000,510000,533000,540000,539000,540000,530000,520000,505000,502000,499000,500000,500000,515000,566000,589000,605000,620000,607000,600000,603000,608000,630000,623000,620000,610000,635000,655000,680000,665000,655000,650000,637000,628000,600000,575000,570000,580000,609000,635000,650000,660000,659000,660000,653000,650000,659000,654000,680000,696000,700000,675000,685000,678000,685000,710000,720000,730000,725000,750000,750000,765000
94579,309000,305000,325000,301000,318000,316000,323000,339000,340000,342000,369000,368000,395000,390000,398000,398000,415000,419000,430000,460000,460000,438000,443000,450000,460000,470000,465000,468000,472000,500000,500000,500000,475000,493000,483000,474000,468000,490000,527000,526000,509000,509000,524000,526000,540000,525000,540000,520000,515000,537000,572000,570000,590000,604000,610000,586000,565000,550000,565000,579000,589000,620000,610000,600000,610000,625000,643000,650000,648000,650000,650000,673000,670000,685000,679000,685000,683000,705000,710000,701000,669000,664000,644000,640000,646000,650000,660000,680000,685000,695000,700000,720000,701000,701000,698000,700000,694000,730000,730000,728000,723000,730000,738000,740000,763000,780000,775000,782000,801000,825000,830000
94580,260000,273000,270000,277000,276000,290000,285000,295000,300000,310000,313000,318000,345000,351000,359000,365000,375000,397000,401000,403000,400000,400000,405000,400000,410000,410000,430000,434000,435000,435000,435000,445000,442000,440000,435000,440000,447000,455000,465000,470000,480000,480000,483000,485000,489000,489000,490000,495000,510000,500000,515000,515000,540000,560000,555000,555000,553000,555000,550000,548000,543000,543000,555000,560000,590000,613000,630000,625000,625000,623000,620000,631000,648000,651000,663000,675000,681000,701000,698000,692000,650000,649000,648000,635000,621000,616000,630000,662000,668000,680000,690000,685000,687000,685000,705000,695000,702000,705000,726000,726000,715000,725000,725000,723000,720000,718000,722000,735000,750000,770000,800000
94582,639000,639000,654000,660000,720000,725000,738000,700000,700000,680000,715000,725000,723000,760000,780000,829000,867000,875000,872000,865000,820000,788000,780000,800000,730000,800000,881000,888000,884000,875000,881000,875000,875000,867000,845000,793000,855000,941000,930000,910000,929000,1020000,1020000,1007000,948000,940000,929000,910000,913000,928000,940000,946000,992000,989000,930000,925000,945000,999000,979000,964000,951000,1018000,1060000,1060000,1087000,1074000,1068000,1019000,1050000,1073000,1040000,1030000,1090000,1129000,1133000,1111000,1165000,1204000,1235000,1235000,1235000,1200000,1170000,1143000,1188000,1151000,1128000,1128000,1160000,1150000,1143000,1112000,1085000,1065000,1115000,1065000,980000,988000,1055000,1180000,1103000,1168000,1163000,1190000,1171000,1180000,1163000,1161000,1173000,1254000,1384000
94583,516000,495000,517000,535000,542000,555000,590000,615000,602000,580000,587000,583000,590000,650000,691000,701000,744000,752000,752000,730000,716000,710000,706000,710000,743000,750000,747000,767000,767000,776000,732000,734000,725000,745000,729000,744000,729000,753000,756000,790000,807000,807000,800000,806000,800000,811000,801000,810000,805000,843000,860000,865000,868000,890000,860000,810000,785000,823000,820000,825000,810000,832000,835000,893000,890000,901000,890000,875000,873000,866000,870000,884000,875000,914000,930000,970000,998000,980000,950000,905000,895000,950000,1000000,994000,883000,918000,968000,980000,983000,945000,930000,918000,920000,945000,977000,950000,919000,906000,989000,997000,985000,993000,1000000,1025000,1040000,1080000,1105000,1125000,1080000,1250000,1303000
94585,161000,161000,169000,166000,169000,165000,175000,180000,180000,180000,185000,189000,202000,200000,205000,209000,218000,225000,223000,231000,240000,241000,253000,260000,265000,270000,284000,285000,285000,290000,290000,290000,285000,286000,278000,280000,283000,290000,300000,298000,305000,305000,304000,305000,305000,312000,307000,316000,319000,321000,330000,330000,332000,335000,340000,340000,341000,348000,350000,360000,356000,358000,365000,373000,377000,370000,365000,370000,375000,380000,376000,375000,379000,390000,395000,401000,408000,402000,410000,412000,410000,399000,388000,387000,389000,395000,405000,415000,419000,419000,410000,420000,420000,429000,425000,419000,415000,418000,430000,430000,429000,427000,428000,440000,440000,445000,450000,465000,462000,471000,488000
