zipcode,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
94506,843000,825000,832000,867000,880000,895000,881000,866000,840000,814000,810000,860000,870000,972000,973000,980000,1000000,1070000,1073000,1057000,973000,960000,1020000,1090000,1040000,1025000,1025000,1110000,1150000,1150000,1150000,1080000,1109000,1125000,1165000,1108000,1075000,1090000,1183000,1200000,1200000,1205000,1204000,1180000,1160000,1160000,1199000,1308000,1250000,1175000,1250000,1280000,1278000,1253000,1225000,1225000,1188000,1192000,1213000,1275000,1281000,1282000,1283000,1330000,1339000,1335000,1318000,1301000,1330000,1342000,1335000,1323000,1323000,1315000,1353000,1355000,1375000,1370000,1345000,1345000,1350000,1375000,1325000,1280000,1300000,1333000,1428000,1421000,1413000,1335000,1350000,1380000,1400000,1400000,1395000,1375000,1377000,1377000,1450000,1450000,1515000,1478000,1497000,1490000,1525000,1550000,1610000,1615000,1651000,1835000,1851000
94507,1235000,1055000,1170000,1140000,1225000,1175000,1249000,1215000,1225000,1195000,1190000,1202000,1355000,1305000,1255000,1200000,1268000,1327000,1385000,1350000,1313000,1269000,1333000,1333000,1293000,1293000,1344000,1438000,1410000,1501000,1460000,1535000,1489000,1500000,1500000,1550000,1460000,1410000,1430000,1424000,1525000,1530000,1525000,1510000,1601000,1675000,1753000,1541000,1515000,1558000,1788000,1720000,1673000,1625000,1630000,1625000,1595000,1555000,1637000,1795000,1775000,1541000,1630000,1600000,1635000,1620000,1645000,1623000,1560000,1681000,1702000,1695000,1615000,1733000,1760000,1788000,1745000,1650000,1645000,1579000,1657000,1790000,1750000,1743000,1538000,1815000,1950000,1894000,1846000,1798000,1800000,1820000,1800000,1850000,1802000,1828000,1725000,1760000,1760000,1947000,2050000,1850000,1800000,1840000,2010000,1901000,1960000,1935000,2100000,2298000,2338000
94509,149000,148000,150000,155000,160000,172000,181000,185000,199000,197000,200000,191000,200000,198000,205000,210000,220000,231000,243000,260000,264000,259000,250000,252000,260000,266000,268000,270000,280000,285000,280000,275000,280000,281000,279000,271000,260000,265000,275000,278000,283000,295000,304000,305000,305000,305000,300000,303000,307000,325000,330000,334000,334000,350000,350000,350000,350000,350000,350000,350000,355000,358000,355000,359000,370000,375000,390000,400000,400000,400000,395000,385000,385000,385000,405000,405000,410000,410000,406000,405000,405000,400000,404000,400000,395000,395000,383000,400000,416000,425000,425000,430000,425000,430000,420000,415000,401000,424000,435000,446000,440000,437000,445000,460000,460000,470000,465000,475000,485000,501000,488000
94510,270000,281000,285000,290000,303000,313000,326000,335000,338000,353000,356000,359000,351000,375000,395000,411000,430000,435000,438000,440000,445000,458000,451000,450000,450000,450000,440000,463000,445000,445000,436000,430000,445000,445000,453000,475000,498000,485000,482000,485000,512000,520000,520000,515000,488000,480000,473000,490000,507000,503000,503000,493000,511000,540000,575000,599000,543000,525000,549000,549000,555000,531000,559000,574000,574000,573000,547000,545000,564000,582000,580000,575000,558000,575000,606000,640000,648000,645000,670000,675000,651000,605000,605000,610000,639000,635000,635000,620000,607000,625000,644000,645000,625000,623000,619000,620000,625000,630000,635000,615000,603000,593000,650000,670000,675000,680000,668000,685000,665000,715000,728000
94513,290000,295000,300000,305000,314000,328000,344000,340000,335000,325000,340000,350000,360000,374000,389000,405000,415000,430000,420000,420000,410000,411000,412000,411000,405000,419000,420000,428000,434000,439000,445000,449000,450000,441000,450000,455000,470000,458000,460000,469000,490000,500000,510000,510000,505000,484000,480000,479000,508000,504000,525000,524000,545000,540000,530000,535000,520000,520000,508000,530000,543000,555000,560000,563000,565000,563000,580000,580000,596000,578000,580000,560000,600000,610000,617000,600000,594000,600000,615000,620000,620000,597000,600000,613000,617000,605000,603000,600000,615000,615000,615000,610000,615000,620000,620000,626000,620000,600000,605000,607000,624000,635000,660000,675000,686000,678000,688000,696000,716000,755000,778000
94515,620000,620000,479000,500000,513000,715000,715000,575000,505000,505000,505000,370000,406000,433000,627000,627000,610000,610000,633000,643000,663000,611000,611000,495000,573000,693000,725000,645000,473000,625000,614000,640000,600000,609000,565000,690000,595000,595000,695000,590000,613000,613000,699000,783000,625000,703000,558000,708000,708000,643000,551000,615000,625000,675000,613000,608000,550000,703000,750000,752000,750000,726000,795000,828000,820000,788000,675000,750000,735000,694000,663000,717000,740000,743000,1050000,1050000,740000,703000,744000,760000,862000,918000,940000,828000,918000,809000,965000,796000,960000,793000,793000,710000,995000,1248000,975000,715000,715000,735000,825000,895000,763000,1208000,1285000,1140000,904000,855000,863000,1031000,1031000,1100000,939000
94517,462000,463000,463000,500000,500000,503000,560000,580000,550000,510000,528000,551000,565000,620000,620000,605000,570000,573000,570000,599000,599000,594000,599000,603000,604000,612000,635000,650000,650000,651000,651000,643000,640000,628000,655000,667000,663000,679000,650000,710000,725000,725000,689000,670000,700000,708000,695000,690000,635000,644000,670000,748000,735000,740000,720000,700000,722000,720000,725000,720000,714000,745000,800000,816000,770000,747000,731000,749000,755000,793000,805000,805000,815000,778000,815000,773000,765000,758000,799000,782000,760000,788000,795000,817000,729000,740000,819000,849000,867000,865000,843000,843000,830000,788000,795000,790000,845000,854000,868000,878000,890000,865000,886000,886000,920000,915000,900000,880000,878000,945000,990000
94518,295000,311000,295000,297000,295000,315000,313000,330000,325000,340000,340000,335000,321000,316000,350000,377000,372000,460000,476000,520000,443000,443000,450000,460000,460000,455000,487000,500000,494000,484000,455000,454000,465000,459000,420000,400000,460000,482000,561000,568000,549000,536000,537000,560000,508000,505000,460000,500000,498000,575000,578000,576000,585000,595000,601000,610000,598000,592000,570000,569000,578000,589000,617000,620000,635000,634000,640000,650000,630000,605000,580000,607000,652000,666000,671000,668000,674000,675000,646000,658000,649000,658000,619000,619000,619000,625000,640000,623000,670000,675000,705000,715000,670000,670000,643000,645000,645000,674000,685000,661000,630000,670000,720000,741000,770000,785000,790000,760000,785000,785000,850000
94519,229000,260000,261000,270000,265000,262000,287000,285000,295000,290000,300000,308000,330000,335000,352000,352000,351000,386000,403000,415000,395000,393000,384000,381000,385000,385000,395000,390000,390000,390000,399000,420000,404000,406000,400000,405000,400000,424000,435000,430000,429000,435000,450000,450000,460000,453000,455000,443000,460000,490000,490000,494000,492000,505000,510000,500000,495000,495000,499000,496000,525000,530000,538000,542000,549000,553000,540000,525000,530000,539000,564000,564000,560000,545000,564000,588000,616000,601000,595000,577000,574000,550000,538000,533000,533000,545000,563000,578000,585000,589000,595000,595000,603000,595000,603000,600000,615000,600000,615000,640000,652000,635000,645000,635000,653000,647000,655000,652000,665000,700000,708000
94520,173000,153000,150000,154000,175000,183000,200000,200000,206000,200000,211000,203000,245000,270000,277000,289000,320000,328000,310000,299000,299000,290000,308000,304000,313000,313000,310000,328000,328000,333000,340000,348000,338000,325000,330000,325000,330000,345000,347000,367000,369000,375000,372000,375000,365000,365000,365000,385000,372000,333000,342000,400000,415000,420000,408000,385000,395000,401000,400000,397000,390000,410000,400000,416000,471000,485000,478000,470000,450000,468000,470000,475000,470000,430000,475000,510000,525000,518000,497000,475000,479000,494000,483000,487000,483000,490000,480000,475000,460000,499000,510000,510000,493000,481000,480000,487000,500000,490000,490000,505000,533000,535000,560000,563000,565000,539000,563000,569000,605000,600000,613000
94521,281000,264000,299000,305000,327000,330000,343000,349000,349000,350000,349000,355000,367000,388000,420000,435000,451000,450000,440000,430000,440000,435000,435000,435000,440000,430000,450000,448000,485000,485000,510000,495000,490000,479000,489000,510000,499000,515000,497000,506000,510000,525000,550000,546000,532000,518000,500000,502000,505000,538000,548000,551000,564000,565000,565000,556000,560000,560000,563000,560000,560000,560000,559000,568000,578000,596000,595000,570000,574000,567000,600000,600000,625000,625000,648000,645000,650000,643000,645000,625000,620000,615000,623000,620000,623000,590000,595000,625000,645000,639000,640000,638000,651000,650000,650000,617000,595000,615000,669000,688000,675000,689000,690000,718000,715000,708000,698000,698000,685000,725000,750000
94523,349000,347000,360000,370000,385000,386000,447000,459000,467000,455000,456000,425000,440000,432000,505000,525000,558000,558000,555000,541000,555000,555000,560000,558000,573000,585000,565000,551000,562000,575000,582000,585000,579000,579000,550000,550000,554000,560000,565000,589000,584000,585000,591000,591000,600000,600000,608000,631000,624000,625000,617000,625000,648000,678000,685000,685000,686000,655000,651000,655000,673000,664000,675000,665000,698000,700000,720000,717000,710000,710000,710000,725000,694000,725000,750000,799000,752000,760000,752000,783000,730000,715000,715000,738000,720000,703000,740000,784000,811000,783000,766000,768000,769000,775000,760000,750000,698000,725000,740000,765000,799000,821000,830000,848000,848000,848000,864000,864000,846000,884000,960000
94525,197000,169000,161000,161000,161000,160000,160000,148000,167000,152000,152000,184000,225000,205000,185000,223000,251000,296000,288000,350000,332000,350000,354000,320000,353000,300000,315000,300000,355000,408000,360000,320000,299000,325000,327000,336000,405000,375000,385000,385000,392000,390000,386000,386000,414000,435000,425000,410000,435000,484000,492000,486000,480000,480000,463000,411000,441000,449000,496000,467000,503000,450000,450000,450000,515000,540000,539000,535000,488000,473000,477000,453000,504000,438000,457000,485000,600000,610000,633000,618000,618000,555000,531000,508000,389000,495000,615000,615000,605000,600000,533000,554000,476000,565000,519000,580000,556000,575000,537000,583000,550000,642000,625000,625000,643000,625000,600000,593000,613000,710000,730000
94526,658000,650000,657000,703000,755000,791000,800000,772000,751000,724000,720000,705000,734000,765000,780000,818000,850000,845000,840000,827000,835000,879000,888000,886000,871000,880000,930000,950000,950000,950000,953000,980000,953000,918000,842000,815000,878000,900000,933000,907000,975000,1000000,1075000,1050000,1000000,997000,1008000,1016000,1014000,1000000,1000000,1060000,1100000,1108000,1100000,1075000,1035000,1033000,1037000,1033000,995000,979000,970000,1080000,1128000,1160000,1205000,1195000,1129000,1100000,1110000,1145000,1165000,1145000,1235000,1255000,1286000,1301000,1328000,1300000,1225000,1160000,1178000,1150000,1200000,1150000,1220000,1273000,1235000,1199000,1149000,1150000,1178000,1178000,1238000,1250000,1210000,1180000,1200000,1188000,1210000,1303000,1328000,1350000,1357000,1400000,1385000,1350000,1320000,1363000,1525000
94530,437000,425000,442000,433000,447000,475000,505000,506000,477000,487000,499000,519000,536000,561000,584000,592000,603000,600000,590000,573000,575000,585000,583000,583000,592000,600000,620000,701000,701000,701000,700000,675000,680000,685000,685000,707000,642000,710000,740000,765000,760000,775000,760000,742000,725000,715000,755000,750000,751000,740000,775000,799000,800000,800000,751000,750000,768000,789000,815000,818000,840000,870000,870000,850000,890000,900000,905000,880000,865000,865000,875000,884000,903000,920000,1025000,975000,1000000,965000,970000,925000,895000,913000,901000,902000,890000,890000,885000,931000,950000,955000,945000,925000,890000,880000,900000,904000,945000,950000,975000,950000,925000,938000,990000,1015000,1030000,1030000,1090000,1083000,1106000,1150000,1180000
94531,218000,219000,219000,217000,232000,236000,260000,260000,255000,255000,253000,265000,285000,286000,286000,288000,291000,313000,320000,325000,325000,327000,330000,330000,325000,319000,329000,335000,343000,350000,353000,354000,350000,345000,339000,340000,345000,352000,357000,363000,367000,375000,380000,390000,375000,369000,370000,387000,395000,398000,406000,416000,415000,415000,405000,406000,414000,425000,425000,425000,425000,440000,450000,471000,468000,468000,460000,465000,477000,478000,476000,475000,480000,500000,492000,491000,495000,504000,504000,506000,499000,499000,497000,498000,489000,489000,490000,513000,515000,525000,520000,514000,500000,508000,515000,520000,515000,508000,520000,525000,525000,535000,535000,555000,563000,583000,599000,600000,605000,624000,625000
94533,145000,145000,145000,155000,161000,167000,160000,157000,164000,170000,176000,181000,180000,190000,190000,207000,215000,221000,230000,234000,240000,240000,237000,236000,235000,240000,251000,256000,265000,275000,273000,270000,264000,269000,270000,273000,255000,268000,266000,273000,275000,284000,297000,303000,299000,293000,285000,289000,291000,308000,313000,325000,336000,340000,335000,330000,326000,320000,330000,340000,348000,345000,350000,350000,350000,351000,352000,350000,350000,350000,367000,370000,373000,370000,385000,392000,400000,400000,399000,391000,391000,399000,385000,365000,360000,365000,380000,390000,391000,399000,400000,410000,410000,412000,412000,410000,410000,410000,420000,415000,436000,445000,445000,440000,447000,440000,452000,445000,460000,463000,499000
94534,238000,250000,255000,260000,280000,295000,306000,298000,303000,306000,308000,305000,310000,312000,337000,366000,393000,400000,400000,414000,386000,372000,375000,376000,419000,420000,420000,420000,430000,430000,416000,414000,400000,413000,410000,429000,425000,426000,429000,440000,441000,443000,443000,450000,457000,469000,454000,460000,460000,480000,473000,471000,475000,478000,492000,499000,490000,470000,469000,472000,471000,475000,497000,499000,500000,497000,505000,500000,518000,490000,508000,520000,527000,535000,539000,555000,570000,588000,587000,575000,537000,525000,520000,535000,515000,532000,524000,535000,525000,537000,548000,540000,540000,540000,552000,565000,567000,565000,555000,553000,570000,591000,595000,586000,592000,585000,595000,595000,613000,650000,663000
94536,399000,395000,378000,385000,410000,465000,476000,480000,477000,502000,500000,518000,536000,590000,590000,614000,610000,627000,615000,601000,601000,603000,600000,592000,570000,585000,669000,694000,700000,700000,671000,691000,675000,690000,677000,665000,635000,635000,748000,765000,770000,775000,775000,785000,783000,775000,726000,720000,712000,763000,830000,837000,815000,815000,819000,830000,826000,825000,830000,830000,835000,840000,893000,911000,925000,925000,913000,909000,943000,950000,985000,963000,1000000,1010000,1015000,1078000,1105000,1100000,1100000,1050000,1022000,998000,950000,950000,950000,1000000,978000,985000,969000,993000,990000,975000,968000,954000,954000,920000,977000,965000,1050000,1010000,1138000,1083000,1131000,1131000,1151000,1130000,1072000,1050000,1057000,1210000,1195000
94538,355000,360000,378000,390000,400000,400000,423000,430000,435000,435000,439000,465000,466000,475000,492000,543000,560000,560000,560000,543000,530000,521000,550000,550000,583000,580000,613000,620000,640000,629000,628000,625000,636000,636000,635000,629000,580000,610000,650000,683000,703000,715000,723000,724000,725000,675000,675000,674000,698000,723000,735000,765000,770000,780000,770000,768000,768000,750000,750000,749000,780000,810000,815000,800000,816000,833000,851000,852000,875000,901000,936000,931000,943000,950000,985000,1043000,1050000,1030000,980000,955000,952000,942000,946000,928000,905000,905000,921000,935000,927000,925000,910000,913000,910000,910000,896000,892000,892000,981000,980000,940000,959000,953000,970000,960000,976000,978000,970000,968000,975000,1050000,1101000
94539,748000,778000,793000,850000,888000,881000,830000,835000,846000,877000,865000,879000,872000,944000,985000,1025000,1025000,1068000,1028000,1036000,915000,980000,959000,990000,961000,968000,1026000,1067000,1063000,1113000,1118000,1170000,1168000,1195000,1175000,1175000,1152000,1164000,1188000,1270000,1296000,1330000,1248000,1221000,1150000,1170000,1175000,1235000,1189000,1193000,1200000,1334000,1310000,1320000,1247000,1160000,1127000,1148000,1280000,1280000,1250000,1218000,1320000,1328000,1336000,1329000,1338000,1308000,1380000,1383000,1480000,1406000,1460000,1370000,1605000,1590000,1636000,1558000,1583000,1500000,1505000,1436000,1391000,1425000,1478000,1475000,1550000,1530000,1525000,1413000,1478000,1545000,1553000,1495000,1425000,1457000,1554000,1610000,1605000,1518000,1360000,1525000,1553000,1564000,1487000,1464000,1470000,1502000,1502000,1536000,1605000
94541,235000,228000,230000,240000,240000,240000,260000,267000,293000,299000,300000,300000,317000,331000,350000,360000,388000,390000,400000,390000,378000,376000,395000,411000,425000,418000,425000,425000,416000,413000,412000,425000,425000,425000,425000,425000,419000,439000,445000,490000,490000,490000,460000,473000,498000,495000,485000,479000,509000,513000,519000,525000,525000,527000,525000,525000,529000,530000,537000,530000,525000,555000,569000,594000,585000,585000,591000,615000,615000,610000,605000,610000,625000,626000,628000,640000,629000,630000,640000,640000,633000,615000,623000,649000,673000,668000,650000,650000,650000,650000,660000,655000,664000,663000,665000,660000,675000,678000,683000,660000,680000,691000,702000,700000,693000,693000,740000,748000,753000,751000,753000
94542,215000,221000,345000,409000,453000,453000,465000,432000,475000,475000,458000,425000,410000,450000,450000,536000,532000,560000,560000,560000,550000,551000,510000,503000,499000,553000,558000,611000,650000,650000,553000,582000,553000,570000,662000,680000,727000,670000,630000,557000,590000,590000,635000,728000,648000,645000,615000,690000,731000,777000,662000,680000,700000,700000,748000,735000,745000,711000,765000,799000,820000,792000,820000,794000,825000,787000,795000,790000,805000,823000,812000,823000,929000,1070000,1090000,1200000,1200000,1063000,865000,855000,850000,810000,810000,796000,823000,810000,839000,857000,835000,826000,826000,897000,900000,896000,899000,895000,890000,890000,851000,835000,900000,1030000,1043000,1059000,1079000,1100000,1084000,1075000,1065000,1013000,1068000
94544,235000,232000,244000,247000,255000,255000,265000,280000,280000,280000,290000,305000,310000,318000,320000,340000,366000,373000,393000,380000,384000,390000,390000,395000,383000,400000,407000,410000,417000,425000,440000,415000,425000,414000,419000,410000,430000,450000,465000,470000,475000,475000,475000,485000,476000,476000,482000,496000,508000,503000,521000,525000,530000,520000,520000,511000,512000,510000,520000,525000,545000,560000,560000,576000,588000,600000,600000,603000,617000,616000,618000,616000,645000,650000,667000,651000,660000,665000,670000,670000,654000,650000,645000,621000,635000,645000,680000,650000,645000,635000,653000,668000,660000,660000,658000,663000,683000,713000,733000,731000,730000,670000,670000,680000,695000,710000,720000,720000,725000,715000,750000
94545,280000,273000,258000,267000,265000,283000,292000,291000,308000,310000,318000,316000,325000,338000,367000,400000,405000,401000,416000,415000,426000,423000,425000,435000,445000,448000,450000,455000,465000,466000,468000,463000,447000,440000,440000,450000,450000,450000,453000,458000,480000,510000,515000,500000,495000,500000,520000,524000,530000,530000,530000,543000,561000,565000,564000,560000,558000,573000,582000,598000,613000,626000,632000,632000,633000,665000,658000,665000,668000,676000,671000,672000,695000,690000,698000,713000,745000,750000,743000,720000,693000,663000,660000,670000,670000,690000,729000,735000,709000,715000,680000,686000,665000,660000,698000,708000,740000,713000,700000,692000,735000,735000,750000,750000,750000,750000,750000,803000,818000,820000,846000
94546,363000,349000,350000,370000,400000,419000,440000,448000,449000,465000,465000,455000,440000,487000,500000,510000,513000,535000,540000,540000,533000,537000,525000,514000,510000,513000,570000,595000,595000,571000,589000,580000,585000,551000,538000,530000,551000,600000,582000,592000,600000,640000,636000,647000,647000,650000,650000,650000,640000,649000,650000,655000,653000,660000,650000,655000,663000,675000,654000,630000,630000,689000,725000,725000,725000,731000,730000,738000,735000,747000,744000,755000,773000,760000,765000,800000,825000,825000,825000,820000,763000,760000,730000,717000,705000,749000,775000,772000,778000,770000,783000,780000,800000,808000,812000,825000,828000,824000,830000,851000,850000,810000,835000,865000,864000,885000,875000,885000,869000,905000,1025000
94547,255000,260000,247000,258000,276000,315000,320000,312000,297000,304000,310000,315000,329000,335000,332000,353000,341000,385000,380000,395000,384000,395000,387000,375000,294000,315000,350000,352000,400000,410000,450000,430000,400000,364000,375000,406000,425000,405000,410000,410000,440000,457000,440000,450000,433000,450000,453000,459000,465000,460000,451000,474000,469000,465000,515000,508000,501000,495000,495000,510000,435000,430000,420000,440000,470000,525000,505000,528000,528000,548000,533000,550000,555000,560000,580000,601000,623000,650000,625000,590000,550000,593000,618000,612000,590000,582000,545000,513000,506000,533000,577000,577000,604000,604000,608000,603000,615000,485000,495000,480000,500000,623000,635000,630000,605000,600000,620000,685000,693000,705000,653000
94549,820000,757000,849000,886000,948000,887000,888000,871000,965000,1060000,1025000,997000,1050000,1250000,1200000,1165000,1125000,1146000,1150000,1125000,1061000,1040000,1126000,1200000,1231000,1115000,1161000,1190000,1190000,1191000,1176000,1153000,1138000,1078000,1125000,1120000,1335000,1315000,1350000,1408000,1410000,1410000,1333000,1320000,1318000,1269000,1269000,1275000,1330000,1425000,1456000,1385000,1339000,1300000,1320000,1310000,1300000,1230000,1210000,1100000,1060000,1205000,1318000,1383000,1434000,1441000,1455000,1455000,1380000,1400000,1299000,1260000,1225000,1300000,1422000,1540000,1575000,1448000,1368000,1343000,1475000,1450000,1450000,1420000,1580000,1750000,1800000,1765000,1580000,1506000,1470000,1470000,1425000,1477000,1458000,1560000,1598000,1608000,1668000,1650000,1735000,1700000,1736000,1693000,1675000,1675000,1738000,1750000,1773000,1785000,1790000
94550,400000,397000,415000,459000,481000,500000,500000,510000,488000,488000,503000,510000,508000,527000,559000,600000,573000,590000,601000,616000,600000,600000,615000,615000,610000,625000,640000,663000,653000,669000,653000,656000,645000,625000,625000,638000,650000,693000,701000,732000,716000,721000,720000,710000,693000,682000,716000,727000,724000,711000,700000,725000,740000,765000,742000,733000,723000,725000,720000,721000,702000,750000,786000,883000,875000,841000,825000,810000,850000,828000,853000,818000,825000,815000,835000,852000,896000,900000,890000,850000,850000,790000,815000,784000,825000,800000,830000,865000,875000,890000,875000,869000,840000,818000,815000,795000,819000,816000,816000,806000,818000,850000,895000,900000,900000,913000,953000,981000,990000,1040000,1108000
94551,341000,338000,325000,323000,344000,373000,405000,401000,418000,410000,410000,400000,405000,415000,445000,471000,470000,469000,485000,506000,495000,490000,481000,510000,525000,565000,565000,542000,536000,541000,560000,535000,535000,530000,542000,545000,557000,600000,590000,598000,600000,618000,615000,608000,605000,599000,593000,580000,605000,641000,629000,637000,640000,654000,650000,646000,630000,620000,620000,620000,623000,670000,675000,679000,675000,683000,698000,702000,701000,691000,708000,709000,730000,749000,748000,744000,740000,747000,760000,748000,735000,725000,730000,705000,698000,700000,705000,725000,725000,735000,738000,735000,740000,722000,715000,724000,740000,755000,762000,770000,785000,775000,770000,785000,807000,815000,820000,830000,850000,908000,920000
94552,560000,560000,560000,570000,590000,600000,590000,601000,608000,634000,630000,599000,599000,645000,720000,725000,733000,735000,740000,740000,730000,726000,715000,675000,658000,745000,795000,777000,770000,785000,790000,780000,750000,780000,780000,780000,780000,823000,780000,801000,820000,849000,850000,850000,853000,915000,830000,870000,805000,875000,915000,922000,903000,858000,885000,880000,893000,880000,900000,900000,923000,925000,949000,950000,958000,960000,900000,900000,910000,973000,975000,1010000,1030000,1013000,1070000,1085000,1075000,1060000,1068000,1105000,1122000,1100000,1000000,1000000,1026000,1028000,1043000,1075000,1080000,1140000,1138000,1090000,1025000,1013000,1008000,1008000,1091000,1118000,1077000,1124000,1075000,1118000,1135000,1217000,1206000,1200000,1200000,1253000,1298000,1295000,1400000
94553,251000,238000,255000,270000,290000,299000,303000,330000,326000,339000,330000,325000,310000,307000,340000,385000,406000,399000,422000,405000,385000,380000,382000,415000,415000,421000,408000,456000,453000,450000,425000,422000,415000,415000,422000,428000,450000,476000,500000,500000,500000,490000,491000,495000,495000,491000,480000,490000,510000,532000,528000,518000,514000,525000,510000,506000,499000,505000,513000,545000,565000,584000,582000,595000,585000,580000,560000,575000,575000,562000,560000,564000,583000,588000,620000,590000,590000,590000,610000,620000,605000,607000,620000,600000,553000,555000,579000,605000,630000,627000,607000,593000,601000,600000,589000,581000,590000,600000,579000,580000,603000,633000,655000,675000,690000,662000,676000,683000,686000,676000,715000
