name,type,gradeRange,enrollment,gsRating,city,state,ncesId,zipcode,lat,lon
Jensen Ranch Elementary School,public,KG_5,424,10,Castro Valley,CA,60780004339,94552,37.713123,-122.03122
Indian Valley Elementary School,public,KG_5,395,8,Walnut Creek,CA,64125006828,94598,37.90152,-122.03196
Fremont High School,public,9_12,2081,8,Sunnyvale,CA,61443001696,94087,37.35253,-122.03249
Oak Grove Middle School,public,6_8,789,1,Concord,CA,62637003962,94518,37.93985,-122.03497
Chester W. Nimitz Elementary School,public,KG_5,628,6,Sunnyvale,CA,61029001146,94087,37.34674,-122.03575
Hillview Crest Elementary School,public,KG_5,513,3,Hayward,CA,62691004071,94544,37.61436,-122.03627
Treeview Elementary,public,KG_6,461,2,Hayward,CA,61674002136,94544,37.624165,-122.03657
Bancroft Elementary School,public,KG_5,645,7,Walnut Creek,CA,62637003935,94598,37.92909,-122.03673
Mt. Diablo High School,public,9_12,1448,2,Concord,CA,62637003960,94520,37.982655,-122.03674
Walnut Heights Elementary School,public,KG_5,387,10,Walnut Creek,CA,64125006832,94596,37.894146,-122.0378
Meadow Homes Elementary School,public,KG_5,825,2,Concord,CA,62637003956,94520,37.965927,-122.03887
Cumberland Elementary School,public,KG_5,806,9,Sunnyvale,CA,63846006459,94087,37.36742,-122.04312
Cambridge Elementary School,public,KG_5,583,1,Concord,CA,62637002932,94520,37.954807,-122.04456
Murwood Elementary School,public,KG_5,366,6,Walnut Creek,CA,64125006829,94596,37.88365,-122.04656
Cesar Chavez Middle School,public,6_8,1210,3,Union City,CA,62691004073,94587,37.59019,-122.04735
Vargas Elementary School,public,KG_5,484,4,Sunnyvale,CA,63846002796,94086,37.381565,-122.04785
Independent Elementary School,public,KG_5,626,8,Castro Valley,CA,60780009342,94552,37.69911,-122.04975
Tom Kitayama Elementary School,public,KG_5,776,7,Union City,CA,62691007480,94587,37.601467,-122.04979
Fair Oaks Elementary School,public,KG_5,334,2,Pleasant Hill,CA,62637003946,94523,37.944084,-122.05058
Fairview Elementary School,public,KG_6,549,4,Hayward,CA,61674002113,94541,37.680798,-122.05205
Sunnyvale Middle School,public,6_8,1211,6,Sunnyvale,CA,63846006465,94087,37.36022,-122.05401
Canyon Middle School,public,6_8,1391,7,Castro Valley,CA,60780000740,94552,37.705772,-122.05426
East Avenue Elementary School,public,KG_6,568,4,Hayward,CA,61674002109,94541,37.67083,-122.0543
Walnut Creek Intermediate School,public,6_8,1049,8,Walnut Creek,CA,64125006831,94597,37.90965,-122.05515
